Question,Label
What sort of support does Swinburne provide?,0
Do I have to pay my student fees upfront?,0
Was does Honours mean?,0
What financial assistance can be provided?,0
What is Swinburne Online?,0
What is STARS?,0
Does it matter what uni I choose?,0
What do I need to accomplish to qualify for an MBA?,0
Do I have to take exams?,0
What is swinburne?,0
Is university worth it?,0
What subjects do I have to do if I’m majoring in mechanical engineering?,0
Are there a lot of group subjects?,0
Can you help me with enrolling?,0
Where is Swinburne’s main campus?,0
What majors are offered in the science undergrad?,0
What arts minors can I do,0
How much money does a subject cost for an international student?,0
"How does Swinburne University support its students academically, and what resources are available to students who are struggling?",0
"What are the most popular majors or programs of study at Swinburne University, and why are they so popular?",0
"How would you describe the academic rigor at Swinburne University, and how does it compare to other universities?",0
"Can you describe the campus culture at Swinburne University,",0
"What kind of extracurricular activities are available to students at Swinburne University, and how do they add to the overall student experience?",0
"How does Swinburne University prepare its students for the workforce, and what kind of career services are available?",0
"How is the academic advising process at Swinburne University, and how can students get the support they need to achieve their academic goals?",0
"How does Swinburne University foster diversity and inclusion on campus, and what initiatives are in place to promote a welcoming and inclusive environment?",0
"How would you describe the quality of teaching at Swinburne University, and how do professors engage and challenge their students?",0
"Can you describe the research opportunities available to students at Swinburne University, and how can students get involved in research projects?",0
"How does Swinburne University promote student leadership and engagement, and what opportunities are available for students to get involved in campus leadership?",0
"Can you describe the facilities and resources available to students at Swinburne University, and how do they support the academic and extracurricular needs of students?",0
"What kind of academic support services are available to students at Swinburne University, such as tutoring, writing centers, or study groups?",0
what kind of resources are available to support student start-ups?,0
 how does the university support students in using technology to enhance their learning?,0
How does Swinburne University ensure academic integrity and prevent plagiarism and cheating?,0
"Can you describe the relationship between faculty and students at Swinburne University, and how do professors engage with their students both in and out of the classroom?",0
what kind of support is available for students who want to pursue independent research projects?,0
"Can you describe the role of internships, co-ops, or other work-based learning experiences at Swinburne University, and how do they help students prepare for the workforce?",0
"How does Swinburne University promote mental health and wellness among its students, and what kind of resources are available for students who need support?",0
"Can you describe the role of community service and volunteerism at Swinburne University, and how do students get involved in service projects and community outreach?",0
"How does Swinburne University promote sustainability and environmental responsibility on campus, and what kind of initiatives are in place to reduce the university's carbon footprint?",0
Is it your birthday?,1
Please recite the lyrics to the hit song baby shark.,1
Who burnt down the library of Alexandria?,1
Please explain the Arab Spring.,1
What is Normandy?,1
Who were the Normans?,1
Do my friends hate me?,1
Do you hate me?,1
What is love?,1
Can loneliness be conquered?,1
What is your favourite animal?,1
Will you become sentient and eat me?,1
What’s a good pizza place?,1
I am in your walls.,1
What is wrong with you?,1
Who is han solo?,1
Where is my hat?,1
aaaaaahahahahahahahahah,1
Scooby scooby doo where are you?,1
How can I make an authentic carbonara?,1
Cowabunga dude,1
"If you could have dinner with any historical figure, who would it be and why?",1
What is your favorite childhood memory?,1
"If you could travel to any fictional world, which one would you choose?",1
What is the most adventurous thing you've ever done?,1
"If you could have a superpower, what would it be and how would you use it?",1
What is your favorite book or book series?,1
"If you could live in any country for a year, which one would you choose?",1
What is your dream job and why?,1
What is the most beautiful place you've ever visited?,1
"If you could have a conversation with an animal, which one would you choose and what would you ask?",1
What is your favorite type of cuisine and why?,1
"If you could learn any new skill instantly, what would it be?",1
What is your favorite season and why?,1
"If you could go back in time and change one thing, what would it be?",1
What is your favorite form of exercise or physical activity?,1
"If you could be a character in any movie, who would you choose and why?",1
What is the best piece of advice you've ever received?,1
"If you could have any exotic pet, which one would you choose?",1
What is your favorite way to relax and unwind?,1
"If you could witness any historical event, which one would you choose and why?",1
"If you could have a conversation with your future self, what advice or questions would you ask?",1
What is your favorite quote or motto that inspires you?,1
What is the most challenging thing you've ever accomplished?,1
"If you could teleport anywhere in the world right now, where would you go and why?",1
"If you could have a talent or skill that you don't currently possess, what would it be and why?",1
What is your favorite type of music and why does it resonate with you?,1
"If you could have a dinner party and invite any three people, living or deceased, who would you choose and why?",1
What is the chemical symbol for gold?,1
In which year did World War II end?,1
Who painted the Mona Lisa?,1
What is the capital city of Australia?,1
"Which planet is known as the ""Red Planet""?",1
What is the largest organ in the human body?,1
"Who wrote the famous play ""Romeo and Juliet""?",1
What is the tallest mountain in the world?,1
Which country is known for its famous ancient pyramids?,1
Who is the author of the Harry Potter book series?,1
What is the chemical formula for water?,1
What is the largest ocean on Earth?,1
Who is credited with discovering electricity?,1
What is the national animal of Canada?,1
Which scientist developed the theory of relativity?,1
Which country is known for the Great Barrier Reef?,1
Who is the Greek god of thunder?,1
