Question,Label
What sort of support does Swinburne provide?,0
Do I have to pay my student fees upfront?,0
Was does Honours mean?,0
What financial assistance can be provided?,0
Is it your birthday?,1
Please recite the lyrics to the hit song baby shark.,1
Who burnt down the library of Alexandria?,1
Please explain the Arab Spring.,1
What is Normandy?,1
Who were the Normans?,1
Do my friends hate me?,1
Do you hate me?,1
What is Swinburne Online?,0
What is STARS?,0
Does it matter what uni I choose?,0
What do I need to accomplish to qualify for an MBA?,0
What is love?,1
Can loneliness be conquered?,1
Do I have to take exams?,0
What is your favourite animal?,1
Will you become sentient and eat me?,1
What’s a good pizza place?,1
I am in your walls.,1
What is wrong with you?,1
